survey_id,raw_name,var_label,value_labels,n_unique,tier_auto,pattern_id_auto,confidence_auto,tier_manuel,pattern_id_manuel,notes
cecd_charte_2013_09,rec_pc3k,"K)  Je crois que ces questions de charte de valeurs et de laïcité ne sont qu'une façon de ne pas parler des enjeux importants comme l'économie, les finances publiques et les services à la population",1.0; 2.0; 3.0; 4.0,4,1,likert_5_agree,0.8,,,
cecd_charte_2013_10,reglang,Croisement des variables de région et de langue,1.0; 2.0; 3.0,3,1,likert_3_agree,1.0,,,
cecd_charte_2013_11,quest,Numéro de questionnaire,5.0; 6.0; 8.0; 9.0; 10.0; 11.0; 15.0; 16.0; 17.0; 18.0; 19.0; 20.0; 22.0; 24.0; 25.0; 26.0; 28.0; 29.0; 30.0; 31.0,1000,3,,0.0,,,
cecd_charte_2013_12,pc1,"PC1. Le gouvernement du Parti Québécois de Pauline Marois vient de déposer un projet de Charte des valeurs québécoises. De façon générale, vous-même, êtes-vous favorable ou défavorable à ce projet?",1.0; 2.0; 3.0; 4.0,4,1,likert_5_agree,0.8,,,
cecd_charte_2014_01,qlanm,"QLANM. Quelle est votre langue maternelle, c'est-à-dire la première langue que vous avez apprise et que vous pouvez encore parler?",1.0; 2.0; 6.0,3,1,province_qc,0.8,,,
cecd_charte_2014_02,pc5g,"PC5. Avez-vous eu affaire dans les cinq dernières années à un membre d'un des corps de métiers suivants qui portait un tel signe [signe religieux ostentatoire], dans le cadre de ses fonctions : G) Un fonctionnaire",1.0; 2.0,2,1,binary_yes_no,0.9,,,
cecd_elxn_can_2008,fed2008a1,Intention de vote fédérale recodée,1.0; 2.0; 3.0; 9.0,4,1,province_qc,0.8,,,
cecd_elxn_can_2011,qreve,"S10.  Dans laquelle des catégories suivantes se situe le revenu annuel total, avant impôts et déductions, de tous les membres de votre foyer, en vous incluant?  Est-ce...",1.0; 2.0; 3.0; 4.0; 5.0; 6.0; 7.0; 9.0,8,2,province_qc,0.8,,,
cecd_elxn_qc_1998,q2post,hésitation pré vote,1.0; 2.0,2,1,binary_yes_no,0.9,,,
cecd_elxn_qc_2007,intvote2,"5. Peut-être n'êtes-vous pas complètement décidé(e), mais actuellement pour lequel de ces partis seriez-vous tenté(e) de voter? Serait-pour...",1.0; 2.0; 3.0; 4.0; 5.0; 7.0; 9.0,7,1,province_qc,0.8,,,
cecd_elxn_qc_2007,echBV,Message à laisser sur BV,0.0; 1.0,2,1,binary_yes_no,0.9,,,
cecd_elxn_qc_2008,reg_p2,RÉGION phase 2,1.0; 2.0; 3.0; 4.0,4,1,likert_5_agree,0.8,,,
cecd_elxn_qc_2012,reg_3gr,Région en 3 groupes,1.0; 2.0; 3.0,3,1,likert_3_agree,1.0,,,
cecd_elxn_qc_2018,rv1b,rv1b. Et pour quel parti diriez-vous que vous auriez tendance à voter?,1.0; 2.0; 3.0; 4.0; 5.0; 7.0,6,1,likert_7_agree,0.857,,,
cecd_sante_can_usa,Q28A,"How confident are you that if you become seriously ill, you will ...?  Are you very confident, somewhat confident, not very confident, or not at all confident? / ...get quality and safe medical care",1.0; 2.0; 3.0; 4.0; 8.0,4,1,likert_5_agree,0.8,,,
cecd_vote_qc_2007_2010,intvoterefa,Si un référendum avait lieu aujourd'hui vous demandant,1.0; 2.0; 3.0; 8.0; 9.0,3,1,likert_3_agree,1.0,,,
eeq_2007,q59,Quel parti est le meilleur pour lutter contre la pauvreté ? / Ne PAS lire la liste,01; 02; 03; 04; 05; 96; 97; 98; 99,9,2,open_ended_text,1.0,,,
eeq_2008,q61b,Quel parti est le meilleur pour défendre l'identité et la culture québécoise ?,1.0; 2.0; 3.0; 4.0; 5.0; 96.0; 97.0; 98.0; 99.0,5,1,likert_5_agree,1.0,,,
eeq_2012,LANGU,What is the language you first learned at home in your childhood and that you still understand?,1.0; 2.0; 3.0,3,1,likert_3_agree,1.0,,,
eeq_2014,Q25,,Demander plus de pouvoirs pour le Québec; Faire l'indépendance du Québec; Je ne sais pas; Je préfère ne pas répondre; Signer la Constitution de 1982,5,2,,0.0,,,
eeq_2018,q51a_5,,1.0; 2.0; 3.0; 4.0; 96.0; 97.0; 98.0; 99.0,6,2,percentage_scale,0.7,,,
eeq_2018,q41_1,,0.0; 1.0; 2.0; 3.0; 4.0; 5.0; 98.0; 99.0,6,2,province_qc,0.775,,,
eeq_2022,pes_resent3,,Neither agree nor disagree; Not sure; Somewhat agree; Somewhat disagree; Strongly agree; Strongly disagree,6,2,,0.0,,,
eeq_2022,pes_contactparty_2,,-99.0; Parti québécois,2,2,,0.0,,,
eeq_2022,cps_spendcrime,,Spend about the same as now; Spend less; Spend more,3,2,,0.0,,,
eeq_2022,pes_confidence_2,,A great deal; None at all; Not very much; Quite a lot,4,2,,0.0,,,
elxnqc_particip_egm_2021,sexe,,1; 2; 3; 9,3,1,likert_3_agree,1.0,,,
elxnqc_particip_egp_2018,Q14,,1; 2; 3; 4; 9,5,1,province_qc,0.8,,,
elxnqc_satis_2018,Q37D,,1; 2; 4; 5; 6; 7; 8; 9; 10; 99,9,2,province_qc,0.8,,,
elxnqc_satis_2022,CASEID) Numéro de questionnaire,,214; 239; 252; 303; 323; 425; 474; 540; 606; 609; 683; 745; 768; 816; 820; 946; 973; 1109; 1165; 1184,1001,3,,0.0,,,
elxnqc_vote_internet_tel_2019,SCOLRR,,1; 2; 3; 99,3,1,likert_3_agree,1.0,,,
elxnqc_vote_internet_web_2019,CODIB2GR_3,,1.0; 2.0; 3.0; 4.0; 6.0; 7.0; 9.0; 90.0; 100.0; 102.0; 108.0,11,2,,0.0,,,
focus_canada_2010,q53g,"Q53g Do you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements? - Overall, immigration has a positive impact on the economy of Canada",1.0; 2.0; 3.0; 4.0; 5.0; 9.0,5,1,likert_5_agree,1.0,,,
focus_canada_2011,Q30_ROT,Q30_ROT. ROTATION,1.0; 2.0; 3.0; 4.0; 5.0; 6.0; 7.0; 8.0,8,2,province_qc,0.8,,,
focus_canada_2012,Q31,"Q31. Generally speaking, would you say that people of your province get back more than they pay to the federal government, less than they pay, or an amount roughly equal to what they pay the federal government?",1.0; 2.0; 3.0; 99.0,3,1,likert_3_agree,1.0,,,
govcan_06822_wave1_2024,MIS_CONFID_T_COV_1,,1; 2; 3; 4; 5,5,1,likert_5_agree,1.0,,,
govcan_06822_wave1_2024,MIS_F_CLI_1,,1; 2,2,1,binary_yes_no,0.9,,,
govcan_06822_wave2_2024,AORDERSECT3CALC,,1; 2,2,1,binary_yes_no,0.9,,,
govcan_06822_wave2_2024,TRUSTNEWSJOURNALIST,,1; 2; 3; 4; 5; 9999,5,1,likert_5_agree,1.0,,,
govcan_06822_wave3_2024,IMMIGRATE_YEAR,,7777; 9999,2,2,,0.0,,,
govcan_06822_wave4_2024,MIS_T_CLI_1_WNORM_YES,,1; 2; 3; 4; 5; 9999,5,1,likert_5_agree,1.0,,,
govcan_06822_wave4_2024,CONSPOP_G,,1; 2; 3; 4; 5,5,1,likert_5_agree,1.0,,,
govcan_2022,Test5r4,,0; 1; 9999,3,2,,0.0,,,
govcan_2022,C1r25,,1; 2; 3; 4; 5; 6; 7; 8; 9999,8,2,province_qc,0.8,,,
govcan_2022,VaxIncentives5r4,,1; 2; 3; 4; 5; 6; 7; 9999,7,1,likert_7_agree,1.0,,,
govcan_2022,E10r5c3,,0; 1; 9999,2,1,binary_yes_no,0.9,,,
govcan_2022,Vax2Br1,,0; 1; 3; 8; 9999,3,2,province_qc,0.75,,,
govcan_2022,MisAETC1,,1; 2; 3; 4; 9999,4,1,likert_5_agree,0.8,,,
govcan_2022,D1r6,,1; 2; 3; 4; 5; 6; 7; 97; 9999,7,1,likert_7_agree,1.0,,,
govcan_2022,E5r7,,9999,1,2,,0.0,,,
govcan_2022,A16r3,,1; 2; 3; 4; 5; 6; 7; 9999,7,1,likert_7_agree,1.0,,,
govcan_2023,BOOSTER4_15,,"9,999",1,1,open_ended_text,1.0,,,
govcan_2023,INFECTION,,1; 2; 3; 4; 5,5,1,likert_5_agree,1.0,,,
govcan_2023,MIDI_ACCURACYD,,"1; 2; 3; 4; 9,999",5,1,open_ended_text,1.0,,,
govcan_2023,MEAS_EFFECT2F,,"1; 2; 3; 4; 5; 9,999; 98",7,1,open_ended_text,1.0,,,
govcan_2023,THREAT_SCALEF,,"1; 2; 3; 4; 9,999",5,1,open_ended_text,1.0,,,
govcan_2025,BDW_SAFE,,1; 2; 3; 4; 5; 6; 7,7,1,likert_7_agree,1.0,,,
govcan_habit_2024,MENTAL_SELF_DIAGNOSIS2C5,, ; 0; 1,3,1,open_ended_text,1.0,,,
govcan_habit_2024,ETHNICITYC1,,0; 1,2,1,binary_yes_no,0.9,,,
govcan_habit_2024,FLU_VAX_BARRIERC17,, ; 0; 1,3,1,open_ended_text,1.0,,,
govcan_habit_2024,SUPPORTERSC12,, ; 0; 1,3,1,open_ended_text,1.0,,,
govcan_habit_2024,SERVICE_HEALTH_MENTAL,, ; 1; 2; 9999,4,1,open_ended_text,1.0,,,
govcan_parca_2024,C8_V2A_I,, ; 1; 2; 3; 4; 5; 9997; 9999,8,2,open_ended_text,1.0,,,
govcan_parca_2024,C3ATIMER_CC,, ; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 26; 27; 28; 29,26,3,,0.0,,,
govcan_parca_2024,J3A_9,, ; 1; 2; 3; 4; 5; 98; 9999,8,2,open_ended_text,1.0,,,
govcan_parca_2024,I10C2M4O,, ,1,1,open_ended_text,1.0,,,
govcan_parca_2024,C8D_I,, ; 0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9,12,2,open_ended_text,1.0,,,
govcan_parca_2024,J4A_3,, ; 1; 2; 3; 4; 5; 9999,7,1,open_ended_text,1.0,,,
govcan_parca_2024,C21TIMER_FC,, ; 0; 1; 10; 103; 11; 114; 12; 122; 126; 13; 135; 14; 140; 147; 149; 15; 16; 162; 165,89,3,,0.0,,,
govcan_parca_2024,I10D4M7,, ; 10; 11; 9,4,1,open_ended_text,1.0,,,
govcan_parca_2024,I10B_F,, ; 1; 2; 3; 98; 9999,6,1,open_ended_text,1.0,,,
govcan_parca_2024,K4AM3,, ; 1; 10; 11; 2; 3; 4; 5; 50; 6; 7; 8; 9,13,2,open_ended_text,1.0,,,
govcan_parca_2024,I10D2_13,, ; 0; 1,3,1,open_ended_text,1.0,,,
govcan_parca_2024,E8TIMER_TT,, ; 1; 10; 107; 11; 112; 12; 122; 128; 129; 13; 14; 15; 16; 17; 18; 19; 190; 194; 2,88,3,,0.0,,,
govcan_parca_2024,I10D3M9O,, ,1,1,open_ended_text,1.0,,,
